bill_length_mm,bill_depth_mm,correlation,variance,skewness,neigh,split_up,fan
39.1,18.7,true,true,true,false,false,false
39.5,17.4,false,true,true,false,false,false
40.3,18,false,true,true,false,false,false
36.7,19.3,true,false,true,true,false,false
39.3,20.6,false,false,false,false,false,false
38.9,17.8,false,true,true,false,false,false
39.2,19.6,false,false,false,false,false,false
41.1,17.6,true,false,true,true,false,false
38.6,21.2,false,false,false,false,false,false
34.6,21.1,false,false,false,false,false,false
36.6,17.8,true,true,true,true,false,false
38.7,19,true,true,true,false,false,false
42.5,20.7,false,false,false,false,false,false
34.4,18.4,false,false,false,true,true,false
46,21.5,false,false,false,false,false,false
37.8,18.3,false,true,false,false,false,false
37.7,18.7,false,true,true,false,false,false
35.9,19.2,false,false,false,false,false,false
38.2,18.1,true,true,true,true,false,false
38.8,17.2,false,false,false,true,false,false
35.3,18.9,false,false,false,false,false,false
40.6,18.6,true,false,false,false,true,false
40.5,17.9,false,true,true,false,false,false
37.9,18.6,false,true,true,false,false,false
40.5,18.9,true,false,false,false,true,false
39.5,16.7,false,false,false,true,false,false
37.2,18.1,false,true,false,false,false,false
39.5,17.8,false,true,true,false,false,false
40.9,18.9,true,false,false,false,true,false
36.4,17,true,false,true,true,false,false
39.2,21.1,false,false,false,false,false,false
38.8,20,false,false,false,false,false,false
42.2,18.5,false,false,false,true,false,false
37.6,19.3,true,false,true,true,false,false
39.8,19.1,false,false,false,false,false,false
36.5,18,false,true,false,false,false,false
40.8,18.4,false,true,true,false,false,false
36,18.5,false,false,false,true,true,false
44.1,19.7,false,false,false,false,false,false
37,16.9,true,false,true,true,false,false
39.6,18.8,true,true,true,false,false,false
41.1,19,true,false,false,false,true,false
36,17.9,false,false,false,true,true,false
42.3,21.2,false,false,false,false,false,false
39.6,17.7,false,true,true,false,false,false
40.1,18.9,true,false,false,false,true,false
35,17.9,false,false,false,true,true,false
42,19.5,true,false,true,false,false,false
34.5,18.1,false,false,false,true,true,false
41.4,18.6,true,false,false,false,true,false
39,17.5,false,true,true,false,false,false
40.6,18.8,true,false,false,false,true,false
36.5,16.6,true,true,true,false,false,false
37.6,19.1,true,false,true,true,false,false
35.7,16.9,true,false,true,true,false,false
41.3,21.1,false,false,false,false,false,false
37.6,17,true,false,true,true,false,false
41.1,18.2,false,true,true,false,false,false
36.4,17.1,true,false,true,true,false,false
41.6,18,false,true,true,false,false,false
35.5,16.2,false,false,false,false,false,false
41.1,19.1,true,false,false,false,true,false
35.9,16.6,false,false,false,false,false,false
41.8,19.4,false,false,false,false,false,false
33.5,19,false,false,false,false,false,false
39.7,18.4,true,true,true,true,false,false
39.6,17.2,false,false,false,true,false,false
45.8,18.9,false,false,false,false,false,false
35.5,17.5,false,false,false,true,true,false
42.8,18.5,false,false,false,true,false,false
40.9,16.8,true,false,false,true,false,false
37.2,19.4,true,false,true,true,false,false
36.2,16.1,true,true,true,false,false,false
42.1,19.1,true,false,true,false,false,false
34.6,17.2,true,false,true,true,false,false
42.9,17.6,true,true,true,true,false,false
36.7,18.8,false,true,true,false,false,false
35.1,19.4,false,false,false,false,false,false
37.3,17.8,true,true,true,true,false,false
41.3,20.3,false,false,false,false,false,false
36.3,19.5,true,false,true,true,false,false
36.9,18.6,false,true,true,false,false,false
38.3,19.2,false,false,false,false,false,false
38.9,18.8,true,true,true,false,false,false
35.7,18,false,false,false,true,true,false
41.1,18.1,false,true,true,false,false,false
34,17.1,false,false,false,false,false,false
39.6,18.1,true,true,true,true,false,false
36.2,17.3,true,true,true,true,false,false
40.8,18.9,true,false,false,false,true,false
38.1,18.6,true,true,true,false,false,false
40.3,18.5,true,false,false,false,true,false
33.1,16.1,false,false,false,false,false,false
43.2,18.5,false,false,false,true,false,false
35,17.9,false,false,false,true,true,false
41,20,false,false,false,false,false,false
37.7,16,false,false,false,false,false,false
37.8,20,false,false,false,false,false,false
37.9,18.6,false,true,true,false,false,false
39.7,18.9,true,true,true,false,false,false
38.6,17.2,false,false,false,true,false,false
38.2,20,false,false,false,false,false,false
38.1,17,false,false,false,true,false,false
43.2,19,false,false,false,true,false,false
38.1,16.5,false,false,false,false,false,false
45.6,20.3,false,false,false,false,false,false
39.7,17.7,false,true,true,false,false,false
42.2,19.5,true,false,true,false,false,false
39.6,20.7,false,false,false,false,false,false
42.7,18.3,true,false,false,false,false,false
38.6,17,false,false,false,true,false,false
37.3,20.5,false,false,false,false,false,false
35.7,17,true,false,true,true,false,false
41.1,18.6,true,false,false,false,true,false
36.2,17.2,true,false,true,true,false,false
37.7,19.8,false,false,false,false,false,false
40.2,17,true,false,false,true,false,false
41.4,18.5,true,false,false,false,true,false
35.2,15.9,false,false,false,false,false,false
40.6,19,true,false,false,false,true,false
38.8,17.6,false,true,true,false,false,false
41.5,18.3,false,true,true,false,false,false
39,17.1,false,false,false,true,false,false
44.1,18,false,false,false,false,false,false
38.5,17.9,true,true,true,true,false,false
43.1,19.2,true,false,true,false,false,false
36.8,18.5,false,true,true,false,false,false
37.5,18.5,false,true,true,false,false,false
38.1,17.6,false,true,true,false,false,false
41.1,17.5,true,false,true,true,false,false
35.6,17.5,false,false,false,true,true,false
40.2,20.1,false,false,false,false,false,false
37,16.5,true,true,true,false,false,false
39.7,17.9,true,true,true,true,false,false
40.2,17.1,true,false,false,true,false,false
40.6,17.2,true,false,false,true,false,false
32.1,15.5,false,false,false,false,false,false
40.7,17,true,false,false,true,false,false
37.3,16.8,true,false,true,true,false,false
39,18.7,true,true,true,false,false,false
39.2,18.6,true,true,true,false,false,false
36.6,18.4,false,true,false,false,false,false
36,17.8,false,false,false,true,true,false
37.8,18.1,false,true,false,false,false,false
36,17.1,true,false,true,true,false,false
41.5,18.5,true,false,false,false,true,false
46.5,17.9,true,true,true,false,false,false
50,19.5,true,false,false,true,false,false
51.3,19.2,true,false,false,true,false,false
45.4,18.7,false,false,false,false,false,false
52.7,19.8,false,true,true,false,false,false
45.2,17.8,false,true,true,false,false,false
46.1,18.2,true,true,true,false,false,false
51.3,18.2,false,true,false,true,false,false
46,18.9,false,false,false,false,false,false
51.3,19.9,false,false,false,true,false,false
46.6,17.8,true,false,true,true,false,false
51.7,20.3,false,false,false,false,false,false
47,17.3,true,false,true,true,false,false
52,18.1,false,false,false,false,false,false
45.9,17.1,true,false,true,true,false,false
50.5,19.6,true,false,false,true,false,false
50.3,20,false,false,false,true,false,false
58,17.8,false,false,false,false,false,false
46.4,18.6,false,false,false,false,false,false
49.2,18.2,false,false,false,false,false,false
42.4,17.3,true,true,true,true,false,false
48.5,17.5,false,false,false,false,false,false
43.2,16.6,false,false,false,false,false,false
50.6,19.4,true,false,false,true,false,false
46.7,17.9,true,true,true,false,false,false
52,19,false,false,false,false,false,false
50.5,18.4,false,true,false,true,false,false
49.5,19,false,false,false,false,false,false
46.4,17.8,true,false,true,true,false,false
52.8,20,false,true,true,false,false,false
40.9,16.6,false,false,false,false,false,false
54.2,20.8,false,false,false,false,false,false
42.5,16.7,true,false,true,true,false,false
51,18.8,false,true,false,false,false,false
49.7,18.6,false,false,false,false,false,false
47.5,16.8,true,false,true,true,false,false
47.6,18.3,true,true,true,false,false,false
52,20.7,false,false,false,false,false,false
46.9,16.6,true,true,true,true,false,false
53.5,19.9,false,true,true,false,false,false
49,19.5,false,false,false,false,false,false
46.2,17.5,true,false,true,true,false,false
50.9,19.1,true,false,false,true,false,false
45.5,17,true,false,true,false,false,false
50.9,17.9,false,true,false,true,false,false
50.8,18.5,false,true,false,false,false,false
50.1,17.9,false,true,false,true,false,false
49,19.6,false,false,false,false,false,false
51.5,18.7,false,true,false,false,false,false
49.8,17.3,false,true,false,true,false,false
48.1,16.4,true,false,false,false,false,false
51.4,19,false,true,false,false,false,false
45.7,17.3,false,true,true,false,false,false
50.7,19.7,false,false,false,true,false,false
42.5,17.3,true,true,true,true,false,false
52.2,18.8,false,false,false,false,false,false
45.2,16.6,false,false,false,false,false,false
49.3,19.9,false,false,false,false,false,false
50.2,18.8,false,true,false,false,false,false
45.6,19.4,false,false,false,false,false,false
51.9,19.5,false,false,false,false,false,false
46.8,16.5,true,true,true,true,false,false
45.7,17,true,false,true,false,false,false
55.8,19.8,false,false,false,false,false,false
43.5,18.1,true,false,false,false,false,false
49.6,18.2,false,false,false,false,false,false
50.8,19,false,true,false,false,false,false
50.2,18.7,false,true,false,false,false,false
46.1,13.2,true,true,true,false,false,false
50,16.3,true,true,true,true,false,false
48.7,14.1,false,false,false,false,false,false
50,15.2,true,false,true,false,false,false
47.6,14.5,false,true,true,false,false,false
46.5,13.5,true,true,true,false,false,false
45.4,14.6,false,false,true,true,true,false
46.7,15.3,false,true,false,true,false,false
43.3,13.4,true,false,true,true,false,false
46.8,15.4,false,true,false,true,false,false
40.9,13.7,false,false,false,false,false,false
49,16.1,true,false,false,false,false,false
45.5,13.7,true,true,true,true,true,false
48.4,14.6,true,true,true,false,false,false
45.8,14.6,false,false,true,true,true,false
49.3,15.7,true,true,true,false,false,false
42,13.5,true,false,true,true,false,false
49.2,15.2,false,false,false,true,false,false
46.2,14.5,false,true,true,false,false,false
48.7,15.1,false,false,false,true,false,false
50.2,14.3,false,false,false,false,false,false
45.1,14.5,false,false,true,true,true,false
46.5,14.5,false,true,true,false,false,false
46.3,15.8,false,false,true,false,false,false
42.9,13.1,true,false,true,true,false,false
46.1,15.1,false,true,false,true,false,false
47.8,15,false,true,false,true,false,false
48.2,14.3,true,true,true,false,false,false
50,15.3,true,false,true,false,false,false
47.3,15.3,false,true,false,true,false,false
42.8,14.2,true,true,false,false,false,false
45.1,14.5,false,false,true,true,true,false
59.6,17,false,false,false,false,false,false
49.1,14.8,true,true,true,false,false,false
48.4,16.3,true,false,false,false,false,false
42.6,13.7,true,true,false,false,false,false
44.4,17.3,false,true,true,false,false,false
44,13.6,true,true,true,true,false,false
48.7,15.7,true,true,true,false,false,false
42.7,13.7,true,true,false,false,false,false
49.6,16,true,true,true,false,false,false
45.3,13.7,true,true,true,true,true,false
49.6,15,false,false,false,true,false,false
50.5,15.9,true,false,false,false,false,false
43.6,13.9,true,true,false,false,false,false
45.5,13.9,true,true,true,true,true,false
50.5,15.9,true,false,false,false,false,false
44.9,13.3,true,true,true,true,false,false
45.2,15.8,false,false,false,false,false,false
46.6,14.2,false,false,true,true,false,false
48.5,14.1,false,false,false,false,false,false
45.1,14.4,false,false,true,true,true,false
50.1,15,true,false,true,false,false,false
46.5,14.4,false,true,true,false,false,false
45,15.4,false,false,false,false,false,false
43.8,13.9,true,true,false,false,false,false
45.5,15,false,false,false,false,false,false
43.2,14.5,false,false,false,false,false,false
50.4,15.3,true,false,true,false,false,false
45.3,13.8,true,true,true,true,true,false
46.2,14.9,false,true,false,true,false,false
45.7,13.9,true,true,true,true,true,false
54.3,15.7,false,false,false,false,false,false
45.8,14.2,true,true,true,true,true,false
49.8,16.8,true,true,true,false,false,false
49.5,16.2,true,false,false,false,false,false
43.5,14.2,true,true,false,false,false,false
50.7,15,true,false,true,false,false,false
47.7,15,false,true,false,true,false,false
46.4,15.6,false,false,true,false,false,false
48.2,15.6,true,true,true,false,false,false
46.5,14.8,false,true,true,false,false,false
46.4,15,false,true,false,true,false,false
48.6,16,true,true,true,false,false,false
47.5,14.2,false,false,true,true,false,false
51.1,16.3,true,true,true,true,false,false
45.2,13.8,true,true,true,true,true,false
45.2,16.4,false,false,false,false,false,false
49.1,14.5,true,true,true,false,false,false
52.5,15.6,false,false,false,false,false,false
47.4,14.6,false,true,true,false,false,false
50,15.9,true,false,false,false,false,false
44.9,13.8,true,true,true,true,true,false
50.8,17.3,false,true,false,true,false,false
43.4,14.4,false,false,false,false,false,false
51.3,14.2,false,false,false,false,false,false
47.5,14,false,false,true,true,false,false
52.1,17,false,false,false,false,false,false
47.5,15,false,true,false,true,false,false
52.2,17.1,false,false,false,false,false,false
45.5,14.5,false,false,true,true,true,false
49.5,16.1,true,false,false,false,false,false
44.5,14.7,false,false,true,true,true,false
50.8,15.7,true,false,false,false,false,false
49.4,15.8,true,true,true,false,false,false
46.9,14.6,false,true,true,false,false,false
48.4,14.4,true,true,true,false,false,false
51.1,16.5,true,true,true,true,false,false
48.5,15,false,false,false,true,false,false
55.9,17,false,false,false,false,false,false
47.2,15.5,false,false,true,false,false,false
49.1,15,false,false,false,true,false,false
46.8,16.1,true,true,true,true,false,false
41.7,14.7,false,false,false,false,false,false
53.4,15.8,false,false,false,false,false,false
43.3,14,true,true,false,false,false,false
48.1,15.1,false,false,false,true,false,false
50.5,15.2,true,false,true,false,false,false
49.8,15.9,true,false,false,false,false,false
43.5,15.2,false,false,false,false,false,false
51.5,16.3,true,true,true,true,false,false
46.2,14.1,false,false,true,true,false,false
55.1,16,false,false,false,false,false,false
48.8,16.2,true,false,false,false,false,false
47.2,13.7,false,false,true,true,false,false
46.8,14.3,false,true,true,false,false,false
50.4,15.7,true,false,false,false,false,false
45.2,14.8,false,false,true,true,true,false
49.9,16.1,true,true,true,true,false,false
